Name,Rating,Address,City,State,ZIP Code,Latitude,Longitude
Bella Gula,4.5,Clsw 301,Brasília,DF,70673-602,-15.800801,-47.924156
Hajime Japanese Food,4.0,"CLSW 100 BL A, 01",Brasília,DF,70670-051,-15.800801,-47.924156
Feitiço Mineiro Restaurante,4.5,CLN 306 BL D  lj 45/51,Brasília,DF,70745-540,-15.75394,-47.87968
Dona Lenha 413 Norte,4.5,CLN 413,Brasília,DF,70876-540,-15.75394,-47.87968
Restaurante Careca,4.5,"CLN, 411",Brasília,DF,70866-520,-15.75394,-47.87968
Bedrock,3.5,CLN 204 BL A  lj 7,Brasília,DF,70842-510,-15.75394,-47.87968
Shisha,3.5,"Cln 410 Bloco C, 70",Brasília,DF,70865-530,-15.75394,-47.87968
Alfredo's,4.0,"SCLN, 408",Brasília,DF,70856-530,-15.75394,-47.87968
Santé 13,4.5,"SCLN 413, Bloco A, 40",Brasília,DF,70876-510,-15.75394,-47.87968
Bar e Lanchonete Campinense,3.5,"CLN 410 Bl. B, 52",Shcn,DF,70865-520,-15.75394,-47.87968
Vincent,4.5,"CLN, 409",Brasília,DF,70857-510,-15.75394,-47.87968
Casa de Biscoitos Mineiros,4.5,CLN 210,Brasília,DF,70862-540,-15.75394,-47.87968
400quatrocentos,5.0,CLN 410,Brasília,DF,70865-550,-15.75394,-47.87968
Bar do Mendes,3.5,"CLN 411 BL D ,60",Shcn,DF,70866-540,-15.75394,-47.87968
Maori Gastronomia,4.5,"CLN, 110",Brasília,DF,70753-000,-15.75394,-47.87968
Pinella,4.5,CLN 408,Brasília,DF,70856-520,-15.75394,-47.87968
BFC,4.0,Cln 110 BLOCO B LOJA 62,Shcn,DF,,-15.75394,-47.87968
El Paso Texas,4.0,CLN 110,Brasília,DF,70753-520,-15.75394,-47.87968
El Negro,4.5,"CLN, 413",Shcn,DF,,-15.75394,-47.87968
SushiBOM,4.0,"CLN 409, Bloco D, Loja 75",Brasília,DF,70857-540,-15.75394,-47.87968
Fabrica dos bolos,4.0,"SCLN, 410",Brasília,DF,70865-520,-15.75394,-47.87968
Hamburgueria do Francês,3.5,"CLN 409 Bloco B, 53",Brasília,DF,70857-520,-15.75394,-47.87968
Brazilian American Burguer,5.0,"CLSW, 301",Brasilia,DF,70673-603,-15.79625,-47.92669
Restaurante Long,4.5,"CLS 404 Bloco D, 17",Brasília,DF,70238-500,-15.79625,-47.92669
Vila dos Pães,4.0,"CCSW 03 -  Lote 04, Lojas 07/08",Brasília,DF,70680-350,-15.79625,-47.92669
Gibão Carne de Sol,4.5,"Lanchonete, 7",Sps,DF,70610-300,-15.79625,-47.92669
Divino Fogão,4.0,Terraço Shopping,Cruzeiro,DF,70660090,-15.79625,-47.92669
Lótus Azul,3.5,"Clsw, 100",Sudoeste,DF,,-15.79625,-47.92669
Ready Beef,4.5,"CLSW 303 Bloco C, 28",Cruzeiro,DF,70673-623,-15.79625,-47.92669
Hajime Japanese Food,4.0,"CLSW 100 BL A, 01",Brasília,DF,70670-051,-15.79625,-47.92669
Forneria Pizza César,4.0,CLSW 302 BL B  lj 77 ss,Cruzeiro,DF,70673-612,-15.79625,-47.92669
Venite Gourmet,3.0,"CCSW 2, s/n Lote 4",Distrito Federal,DF,70680-250,-15.79625,-47.92669
Ateliê de Confeitaria e Gelateria,5.0,CCSW 5  bl 1 lt 2 lj 113,Cruzeiro,DF,70680-550,-15.79625,-47.92669
Livraria Leitura,2.0,"Shc / Aos 02/08, Lote 05 - Lojas 244 e 248 -Terraço Shopping",Cruzeiro,DF,70640001,-15.79625,-47.92669
Parfait Croissant,4.0,"CLSW 103 Bl. C, 88",Sudoeste,DF,70670-523,-15.79625,-47.92669
Parque Bosque do Sudoeste,4.0,"CCSW, 2",Sudoeste,DF,,-15.79625,-47.92669
